Number,Library,Description,Data Types,Potential Uses,File Extensions,Uses,File Formats
,pygobject==3.36.0,,GTK objects,,,Create GTK applications,Not applicable
,pygraphviz==1.7,,Graphs,,,Generate and manipulate graph visualizations,".dot, .png, .jpeg, .svg, .pdf"
,pylog==1.1,,Log data,,,Log data,.log
,pyluach==2.2.0,,Dates in the Hebrew calendar,,,Convert dates between the Gregorian and Hebrew calendars,Not applicable
,pymc3==3.11.5,,Statistical models,,,Perform Bayesian modeling and probabilistic machine learning,Not applicable
,pymupdf==1.19.6,,PDF files,,,"Read, write, and manipulate PDF files",.pdf
,pynacl==1.5.0,,Encrypted data,,,Encrypt and decrypt data,Any
,pypandoc==1.6.3,,Markdown and other document formats,,,Convert documents between different formats,".md, .rst, .html, .latex, .pdf"
,pyparsing==3.1.0,,Textual data,,,Build parsers and interpreters,Not applicable
,pypdf2==1.28.6,,PDF files,,,"Read, write, and manipulate PDF files",.pdf
,pyphen==0.14.0,,Textual data,,,Hyphenate words,Not applicable
,pyproj==3.5.0,,Geospatial data,,,Convert geospatial coordinates,".shp, .kml, .geojson"
,pyprover==0.5.6,,Mathematical proofs,,,Construct and verify mathematical proofs,Not applicable
,pyshp==2.1.3,,Geospatial data,,,"Read, write, and manipulate shapefiles",".shp, .shx, .dbf"
,pyswisseph==2.10.3.2,,Astronomical data,,,Calculate the positions of celestial bodies,Not applicable
,pytesseract==0.3.8,,Image data,,,Recognize text in images,".png, .jpeg, .tiff, .bmp, .gif, and more"
,pytest==6.2.5,,Test cases,,,Write and run tests,.py
,pyth3==0.7,,Python 3 code,,,Convert Python 2 code to Python 3,.py
,python-apt==2.0.1+ubuntu0.20.4.1,,Package metadata,,,Manage Debian packages,.deb
,python-dateutil==2.8.2,,Dates and times,,,Parse and manipulate dates and times,Not applicable
,python-docx==0.8.11,,Word documents,,,"Read, write, and manipulate Word documents",.docx
,python-dotenv==1.0.0,,Environment variables,,,Load environment variables from a .env file,.env
,python-multipart==0.0.6,,HTTP multipart/form-data requests,,,Parse HTTP multipart/form-data requests,Not applicable
,python-pptx==0.6.21,,PowerPoint presentations,,,"Read, write, and manipulate PowerPoint presentations",.pptx
,pyttsx3==2.90,,Textual data,,,Convert text to speech,Not applicable
,pytz==2023.3,,Dates and times,,,Convert between time zones,Not applicable
,pywavelets==1.4.1,,Numerical data,,,Perform wavelet transforms,Not applicable
,pyxlsb==1.0.8,,Excel files,,,Read Excel files in the .xlsb format,.xlsb
,pyyaml==6.0.1,,YAML files,,,Parse YAML files,".yaml, .yml"
,pyzbar==0.1.8,,Barcode data,,,Decode barcodes and QR codes,".png, .jpeg, and more"
,pyzmq==25.1.0,,Network data,,,Send and receive data over ZeroMQ sockets,Not applicable
,qrcode==7.3,,QR codes,,,Generate QR codes,.png
,rarfile==4.0,,.rar files,,,Extract files from .rar archives,.rar
,rasterio==1.2.10,,Geospatial data,,,"Read, write, and manipulate geospatial data",".tif, .jpg, .png, .hdf, .netcdf, and more"
,rdflib==6.0.0,,RDF data,,,"Parse, serialize, and manipulate RDF data",".rdf, .xml, .n3, .nt, .trix, .trig, .nquads"
,referencing==0.30.0,,Bibliographic references,,,Format bibliographic references,Not applicable
,regex==2023.6.3,,Textual data,,,Match and manipulate text using regular expressions,Not applicable
,reportlab==3.6.1,,PDF files,,,Generate PDF files,.pdf
,requests-unixsocket==0.2.0,,HTTP data,,,Send HTTP requests over Unix domain sockets,Not applicable
,requests==2.31.0,,HTTP data,,,Send HTTP requests,Not applicable
,resampy==0.4.2,,Audio data,,,Resample audio data,".wav, .flac, .mp3, and more"
,rpds-py==0.9.2,,Numerical data,,,Build and manipulate persistent data structures,Not applicable
,scikit-image==0.18.3,,Image data,,,Process and analyze image data,".png, .jpeg, .tiff, and more"
,scikit-learn==1.0,,Numerical data,,,Perform machine learning tasks,Not applicable
,scipy==1.7.3,,Numerical data,,,Perform scientific computing tasks,.mat
,seaborn==0.11.2,,Numerical data,,,Generate statistical data visualizations,".png, .jpeg, .tiff, .pdf, and more"
,semver==3.0.1,,Version numbers,,,Compare semantic version numbers,Not applicable
,send2trash==1.8.2,,File and directory paths,,,Send files to the Trash or Recycle Bin,Any
,sentencepiece==0.1.99,,Textual data,,,Tokenize text,.spm
,setuptools==45.2.0,,Python packages,,,Build and distribute Python packages,Not applicable
,shap==0.39.0,,Numerical data,,,Explain the output of machine learning models,Not applicable
